keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
oak harvest financial group,Oak Harvest financial group,unknown_financial_review,manual_review,keep_active,low,1,ktrh-am-740,,7132125874,1781959454.861277,1781959454.861277,retirement planning and investment advisory services,company_name + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
just pots,Just Pots,other,store_only,keep_active,low,1,woai-am-1200,,,1781958847.4341254,1781958847.4341254,50% off sale with red dots,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
crushyard,Crushyard,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,crushyardfranchising.com,,1781958762.0256972,1781958762.0256972,franchise opportunity in pickleball bar and lounge,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
lear capital,Lear Capital,unknown_financial_review,manual_review,keep_active,low,1,ktrh-am-740,learcapital.com,,1781958675.7853813,1781958675.7853813,free gold investment kit,company_name + websites + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
"southwest fertilizer corner, bison net and renwick","Southwest Fertilizer Corner, Bison Net and Renwick",other,store_only,keep_active,low,1,ktrh-am-740,,,1781958502.740222,1781958502.740222,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
aquablation therapy,Aquablation Therapy,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,,2145921127,1781957970.0264935,1781957970.0264935,treatment for enlarged prostate,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
mcgowan group asset management inc,McGowan Group Asset Management Inc,unknown_financial_review,manual_review,keep_active,low,1,klif-am-570,networthradio.com,,1781956972.0745506,1781956972.0745506,,company_name + websites,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
bath concepts industries,Bath Concepts Industries,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,,8002088750,1781956723.3619072,1781956723.3619072,custom bath services with special offer,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
bath planet,Bath Planet,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,,8002088750,1781956640.361378,1781956640.361378,bathroom renovation with financing options,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
higginbotham insurance and financial services,Higginbotham insurance and financial services,unknown_financial_review,manual_review,keep_active,low,1,wwtn-fm-997,citycurrent.com,9013211020,1781956543.1299067,1781956543.1299067,,company_name + websites,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
saws,SAWS,other,store_only,keep_active,low,1,woai-am-1200,,,1781956248.9045498,1781956248.9045498,SAWS water saver landscape coupon for fall applications,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
fixmyslab,FixMySlab,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,fixmyslab.com,2812554949,1781956248.0452042,1781956248.0452042,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"lowe's, bill's tractor, risen foundation solutions","Lowe's, Bill's Tractor, Risen Foundation Solutions",nonprofit,store_only,keep_active,low,1,woai-am-1200,"bill's tractor.com, risen foundations.com",,1781955119.557458,1781955119.557458,savings on tractors and foundation repair services,company_name + websites + offers,Non-financial (nonprofit). 1 detections. Archived for future offers.
dewinny equipment,DeWinny equipment,other,store_only,keep_active,low,1,woai-am-1200,,,1781954688.414889,1781954688.414889,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
butler lexus of south atlanta,Butler Lexus of South Atlanta,other,store_only,keep_active,low,1,wsb-am-750,,,1781954439.8135955,1781954439.8135955,free car appraisal and chance to win tickets,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
pest bros,Pest Bros,other,store_only,keep_active,low,1,ktrh-am-740,,,1781953735.511235,1781953735.511235,mosquito spray for $19.99,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
"go, go, gecko","Go, Go, Gecko",unknown_general_review,store_only,keep_active,low,1,klif-am-570,googo gecko.com,,1781953570.3175068,1781953570.3175068,free lawn treatment and unlimited talk/text/data plan,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
kabc,KABC,other,store_only,keep_active,low,1,kabc-am-790,,,1781953387.420321,1781953387.420321,free app access,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
the haze advisory group,The Haze Advisory Group,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,hazeadvisorygroup.com,8885055631,1781953006.5026073,1781953006.5026073,"no-cost, no-obligation retirement review session",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
freedom hunters,Freedom Hunters,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,freedomhunters.org,,1781952796.3326154,1781952796.3326154,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
dead rabbit lodge,Dead Rabbit Lodge,other,store_only,keep_active,low,1,wbap-am-820,,,1781951551.3260098,1781951551.3260098,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
digeorge ceilings,DiGeorge Ceilings,other,store_only,keep_active,low,1,whbo-1040,,,1781951510.8264105,1781951510.8264105,top ceiling company in the Bay Area for National Patio Day,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
the crohn's and colitis foundation,The Crohn's and Colitis Foundation,nonprofit,store_only,keep_active,low,1,ktrh-am-740,,,1781951485.644193,1781951485.644193,,company_name,Non-financial (nonprofit). 1 detections. Archived for future offers.
aleve,Aleve,other,store_only,keep_active,low,1,woai-am-1200,,,1781951485.0427177,1781951485.0427177,12 hours of body pain relief,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
dewitt and dunn financial services,DeWitt and Dunn financial services,unknown_financial_review,manual_review,keep_active,low,1,wbap-am-820,,,1781951468.3256297,1781951468.3256297,,company_name,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
marchman firearms,Marchman Firearms,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,marchmanfirearms.com,,1781950306.1092215,1781950306.1092215,dear hunting gear and supplies,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
the hays advisory group,The Hays Advisory Group,other,store_only,keep_active,low,1,wibc-fm-931,,,1781949864.225534,1781949864.225534,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
odo,odo,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,odo.com,,1781949064.9976878,1781949064.9976878,free trial,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
breda,Breda,other,store_only,keep_active,low,1,wsb-am-750,,,1781948890.0771663,1781948890.0771663,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
strong tell,Strong Tell,unknown_general_review,store_only,keep_active,low,1,whbo-1040,strongtell.com str o n g t l dot com,,1781947844.4676685,1781947844.4676685,cut phone bills in half,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
aero exterminators,Aero Exterminators,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,aroexterminators.com,8884627697,1781947430.214054,1781947430.214054,free pest inspection,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
american breast cancer foundation,American Breast Cancer Foundation,nonprofit,store_only,keep_active,low,1,whbo-1040,,8008172939,1781939090.8704813,1781939090.8704813,free towing for car donation,company_name + offers,Non-financial (nonprofit). 1 detections. Archived for future offers.
wilco hyundai,Wilco Hyundai,other,store_only,keep_active,low,1,woai-am-1200,,,1781937012.3409665,1781937012.3409665,car financing deals,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
a1 garage for a service,A1 Garage for a Service,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,a1garage.com,,1781936959.9530208,1781936959.9530208,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
termbusters,TermBusters,insurance,report_now,keep_active,medium,1,wbap-am-820,,18009087636,1781936832.488385,1781936832.488385,term life insurance quotes,company_name + offers,Financial vertical: insurance. 1 detections across radio.
inland kenworth kasteik,Inland Kenworth Kasteik,other,store_only,keep_active,low,1,kabc-am-790,,,1781936547.4759347,1781936547.4759347,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
the st. christopher fund,The St. Christopher Fund,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,truckersfund.org,,1781935143.6666255,1781935143.6666255,paying necessity household expenses for truck drivers,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"auto accident help desk, catania and catania","Auto Accident Help Desk, Catania and Catania",unknown_general_review,store_only,keep_active,low,1,whbo-1040,,8007474070,1781935081.6219273,1781935081.6219273,free legal consultation for auto accident cases,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
a1 garage door service,A1 Garage Door Service,home_service,store_only,keep_active,low,1,wsb-am-750,a1garage.com,,1781933618.2769656,1781933618.2769656,garage door services,company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
steelhorselaw,SteelHorseLaw,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,steelhorselaw.com,,1781931906.888737,1781931906.888737,free case evaluation for injured motorcycle riders,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
solaire,Solaire,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,besthotgrill.com,,1781930686.085893,1781930686.085893,infrared grill for cooking,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"ozempic, audian hearing, lifelock, viome","Ozempic, Audian Hearing, LifeLock, Viome",identity_protection,report_now,keep_active,low,1,ktrh-am-740,"ozempic.com, audianhearing.com, lifelock.com",18336936742180054335625,1781929659.8196208,1781929659.8196208,"FDA-approved medication, affordable hearing aids, identity theft protection, health and wellness advice",company_name + websites + offers,Financial vertical: identity_protection. 1 detections across radio.
human,human,other,store_only,keep_active,low,1,wibc-fm-931,,,1781929317.1500404,1781929317.1500404,save $5 on cholesterol health daily at Sam's Club,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
sunflower floor coatings,Sunflower floor coatings,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,sunflowerfloorcoatings.com,8141732929,1781928273.3101366,1781928273.3101366,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"te certified electrical plumbing, heating and cooling","TE certified electrical plumbing, heating and cooling",home_service,store_only,keep_active,low,1,wsb-am-750,,,1781927960.8287756,1781927960.8287756,free HVAC checkup,company_name + offers,Non-financial (home_service). 1 detections. Archived for future offers.
the tax doctor,The Tax Doctor,medical_non_financing,store_only,keep_active,low,1,whbo-1040,,8006264512,1781927779.3882325,1781927779.3882325,"help with past tax returns, confidential and free call",company_name + offers,Non-financial (medical_non_financing). 1 detections. Archived for future offers.
robert levenger,Robert Levenger,unknown_general_review,store_only,keep_active,low,1,klif-am-570,,8005551212,1781927728.902189,1781927728.902189,Ellipse exerciser with free upgrade offer,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"audian hearing, ethos, robert levenger insurance agent","Audian Hearing, Ethos, Robert Levenger Insurance Agent",insurance,report_now,keep_active,medium,1,klif-am-570,"audianhearing.com, ethos.com/slash-save",,1781927645.9017582,1781927645.9017582,,company_name + websites,Financial vertical: insurance. 1 detections across radio.
mycomputercareer,MyComputerCareer,jobs_recruiting,store_only,keep_active,low,1,ktrh-am-740,mycomputercareer.edu,,1781926884.88242,1781926884.88242,online IT training,company_name + websites + offers,Non-financial (jobs_recruiting). 1 detections. Archived for future offers.
lauren michaels real estate partners,Lauren Michaels Real Estate Partners,unknown_general_review,store_only,keep_active,low,1,whbo-1040,laurenmichaelsrealestate.com,7272988888,1781926366.4309437,1781926366.4309437,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
feeding america,Feeding America,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,feedingamerica.org,,1781925710.1267638,1781925710.1267638,donate to help hungry children,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
precision windows,Precision Windows,home_service,store_only,keep_active,low,1,woai-am-1200,precisionwindowssa.com,2105966588,1781924636.5921335,1781924636.5921335,"energy-efficient windows, siding, patio covers",company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
"ethos, sleep number, upside","Ethos, Sleep Number, Upside",insurance,report_now,keep_active,medium,1,klif-am-570,"sleepnumber.com, ethos.com/slash-save, upside.com",,1781923959.07824,1781923959.07824,"life insurance quote, cash back on gas purchases",company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
super shore insurance agency llc,Super Shore Insurance Agency LLC,insurance,report_now,keep_active,medium,1,wsb-am-750,supershore.com/slash-hannity,,1781922782.6736128,1781922782.6736128,policy review and management,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
berne,Berne,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,berne.com/slashdana,,1781922533.1418843,1781922533.1418843,chemical irritant launcher for self-defense,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
takelean,TakeLean,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,takelean.com,,1781922232.258224,1781922232.258224,20% off,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
hubler toyotas,Hubler Toyotas,automotive_non_financing,store_only,keep_active,low,1,wibc-fm-931,,,1781922191.9866004,1781922191.9866004,best warranty on new Toyotas,company_name + offers,Non-financial (automotive_non_financing). 1 detections. Archived for future offers.
the diabetes solution center,The Diabetes Solution Center,insurance,report_now,keep_active,medium,1,wibc-fm-931,realworldleaders.org,,1781920010.5729625,1781920010.5729625,free CGM device evaluation and insurance coverage check,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
advisor's on call,Advisor's On Call,other,store_only,keep_active,low,1,kabc-am-790,,,1781919455.849544,1781919455.849544,income for life with an inflation rider,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
advisorsoncall,AdvisorsonCall,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,advisorsoncall.com,5622691007,1781918995.2133706,1781918995.2133706,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
advisorsoncall.com,Advisorsoncall.com,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,advisorsoncall.com,,1781918624.8254197,1781918624.8254197,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
iheartadvertising.com,iHeartAdvertising.com,media_internal,store_only,keep_archive,low,1,woai-am-1200,,844844443278,1781915425.203501,1781915425.203501,,company_name,Non-financial (media_internal). 1 detections. Archived for future offers.
bg platinum,BG Platinum,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,bgfindashop.com,,1781912826.426552,1781912826.426552,fuel system cleaner for cars and trucks,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"gravely, dewaney equipment, ledger, fannix garden center, kinetico of san antonio","Gravely, DeWaney Equipment, Ledger, Fannix Garden Center, Kinetico of San Antonio",unknown_general_review,store_only,keep_active,low,1,woai-am-1200,"dewaney-equipment.com, ledger.com/slash-spurs, fannicknursery.com, kineticosa.com",210656787380082943578005551212,1781912049.0582712,1781912049.0582712,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
first health plans,First Health Plans,tax_relief,report_now,keep_active,medium,1,woai-am-1200,iheart.com,8448444378,1781911876.2635992,1781911876.2635992,,company_name + websites,Financial vertical: tax_relief. 1 detections across radio.
heggy ministries,Heggy Ministries,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,jhm.org/levin,8556949647,1781909757.6310549,1781909757.6310549,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
mark dietl realty,Mark Dietl Realty,health_supplement,store_only,keep_active,low,1,wibc-fm-931,,3177554232,1781908262.8646574,1781908262.8646574,guaranteed home sale or buy it,company_name + offers,Non-financial (health_supplement). 1 detections. Archived for future offers.
t r (tax relief),T R (Tax Relief),tax_relief,report_now,keep_active,medium,1,kabc-am-790,,805751789,1781907609.0707257,1781907609.0707257,solution for tax debt,company_name + offers,Financial vertical: tax_relief. 1 detections across radio.
michealis,Michealis,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,8443494639,1781906291.489753,1781906291.489753,free inspection with no strings attached,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
mark spane real estate,Mark Spane Real Estate,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,markspane.com,,1781906166.6091404,1781906166.6091404,guaranteed offer on your home,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
cumulus digital,Cumulus digital,media_internal,store_only,keep_archive,low,1,kabc-am-790,cumulusdigital.com,,1781905876.9457705,1781905876.9457705,"national contest for $5,000",company_name + websites + offers,Non-financial (media_internal). 1 detections. Archived for future offers.
planet fort,Planet Fort,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,planetfort.com,,1781904777.1280234,1781904777.1280234,save on F-150,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
thomas j. henry law,Thomas J. Henry Law,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,thomasjhenrylaw.com,,1781904156.6795244,1781904156.6795244,personal injury law services,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
sweet james and morgan & morgan,Sweet James and Morgan & Morgan,legal_financial,report_now,keep_active,low,1,wsb-am-750,"sweetjames.com, peopleprotector.com",809123418005550000,1781904003.4323468,1781904003.4323468,,company_name + websites,Financial vertical: legal_financial. 1 detections across radio.
groundworks,GroundWorks,other,store_only,keep_active,low,1,wibc-fm-931,,,1781903656.816077,1781903656.816077,"free inspection, basement waterproofing, wall stabilization",company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
zip recruiter,zip recruiter,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,ziprecruiter.com/freeprogram,,1781900936.2083163,1781900936.2083163,free job matching program for veterans and active duty service members,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
did george ceilings,Did George Ceilings,unknown_general_review,store_only,keep_active,low,1,whbo-1040,didgeorgeceilings.com,,1781899115.9626474,1781899115.9626474,"custom tongue and groove cypress ceilings, outdoor kitchens",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
essential foundation,Essential Foundation,nonprofit,store_only,keep_active,low,1,ktrh-am-740,,,1781897820.5722182,1781897820.5722182,,company_name,Non-financial (nonprofit). 1 detections. Archived for future offers.
midway meat market,Midway Meat Market,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,midwaymeatmarket.com,,1781897276.8566298,1781897276.8566298,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
gravely,Gravely,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,dewinee-equipment.com,,1781895773.0159786,1781895773.0159786,commercial mower equipment,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
michelle's,Michelle's,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,8446454377,1781894831.897039,1781894831.897039,"free home inspections, storm damage repair",company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
rennai,Rennai,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,talkingtankless.com,,1781893733.8406835,1781893733.8406835,$500 rebate on tankless water heater installation,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
iowa and ikon,Iowa and Ikon,unknown_general_review,store_only,keep_active,low,1,whbo-1040,myfloridalaw.com,,1781893531.8279881,1781893531.8279881,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
kars4kids,Kars4Kids,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,,1877527745437,1781893302.7045202,1781893302.7045202,fundraising for kids,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
bread becker's,Bread Becker's,other,store_only,keep_active,low,1,wsb-am-750,,,1781892096.7606807,1781892096.7606807,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
super crew,Super Crew,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,supercrew.com/free,,1781891378.6095614,1781891378.6095614,free trial for job posting,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
incogny,incogny,identity_protection,report_now,keep_active,low,1,wsb-am-750,incogny.com/e-r-i-c-k,,1781891236.6251562,1781891236.6251562,save up to 60% on privacy protection,company_name + websites + offers,Financial vertical: identity_protection. 1 detections across radio.
georgia spa company,Georgia Spa Company,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,georgiaspacompany.com,,1781891148.4129772,1781891148.4129772,relaxation products and services,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
perfectly snug,Perfectly Snug,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,perfectlysnug.com/slasheric,,1781890636.6763911,1781890636.6763911,mattress topper with temperature control,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
the shelter pet project,The Shelter Pet Project,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,theshelterpetproject.org,,1781888073.3195398,1781888073.3195398,adopt shelter pets,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
papa john's,Papa John's,other,store_only,keep_active,low,1,wbap-am-820,,,1781887715.7471871,1781887715.7471871,special pizza rate for low grocery days,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
sweet james,sweet James,legal_financial,report_now,keep_active,low,1,wsb-am-750,sweetjames.com,8009000000,1781882914.0901058,1781882914.0901058,,company_name + websites,Financial vertical: legal_financial. 1 detections across radio.
preborn,preborn,other,store_only,keep_active,low,1,whbo-1040,,,1781882437.5293334,1781882437.5293334,sponsor an ultrasound for $28,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
carpro,CarPro,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,carpro.com,7134780765,1781882151.3780193,1781882151.3780193,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
arrow exterminators,Arrow Exterminators,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,arrowexterminators.com,8884627377,1781880756.1080425,1781880756.1080425,free pest inspection,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
supersure insurance,SuperSure Insurance,insurance,report_now,keep_active,medium,1,ktrh-am-740,memorialhearing.com,,1781880326.5443435,1781880326.5443435,,company_name + websites,Financial vertical: insurance. 1 detections across radio.
"dean and draper, insurance advisor","Dean and Draper, Insurance Advisor",insurance,report_now,keep_active,medium,1,ktrh-am-740,,7135270444,1781877470.9232407,1781877470.9232407,,company_name,Financial vertical: insurance. 1 detections across radio.
fair co-op,Fair co-op,media_internal,store_only,keep_archive,low,1,ktrh-am-740,fair.coop/iheart,,1781845503.556303,1781845503.556303,"earn up to 90% as a driver, get 25% of net profits from referrals",company_name + websites + offers,Non-financial (other). 1 detections. Archived for future offers.
pound law - morgan & morgan,Pound Law - Morgan & Morgan,legal_financial,report_now,keep_active,low,1,wsb-am-750,forthepeople.com,,1781845119.4186974,1781845119.4186974,,company_name + websites,Financial vertical: legal_financial. 1 detections across radio.
dav,DAV,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,dav.org,,1781843519.4055421,1781843519.4055421,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
gibbs landscape,Gibbs Landscape,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,gibbslandscape.com,,1781843329.330972,1781843329.330972,landscape design consultation,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
solaire infrared grill,Solaire Infrared Grill,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,besthotgrill.com/slash-randy,,1781842758.1461048,1781842758.1461048,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
serta pro painters,Serta Pro Painters,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,spurs.com/slash sports academy,2104445021,1781840771.898415,1781840771.898415,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
armstrong and get,Armstrong and Get,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,armstrongandget.com,,1781837897.5754137,1781837897.5754137,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
medishare,Medishare,unknown_general_review,store_only,keep_active,low,1,whbo-1040,,8557427340,1781837079.8967345,1781837079.8967345,,company_name,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
joepags,JoePags,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,joepags.com,8335637247,1781836274.6375995,1781836274.6375995,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
o'reilly auto parts,O'Reilly Auto Parts,other,store_only,keep_active,low,1,ktrh-am-740,,,1781836183.3713992,1781836183.3713992,free check for O'Reilly Veriscan,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
supersure insurance agency,SuperSure Insurance Agency,insurance,report_now,keep_active,medium,1,woai-am-1200,supersure.com,,1781835989.7334306,1781835989.7334306,business insurance and employee benefits,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
pre-born,pre-born,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,preborn.com,,1781835644.0340168,1781835644.0340168,sponsor an ultrasound to save a baby's life and support parents,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
nexus neuro,Nexus Neuro,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,46340033384634003333,1781832612.5029395,1781832612.5029395,free neuropathy screening,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
a mac the association of mature american citizens,a mac the association of mature american citizens,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,amac.us/live,,1781832530.2525284,1781832530.2525284,five years for forty seven dollars,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
